# id сообщения<TAB>id топика (форум-тред). Известно только для сообщений-ответов.
2	2
6	6
10	10
17	10
19	6
20	6
21	2
31	10
32	10
33	10
34	10
35	10
37	10
38	10
39	10
40	10
41	10
42	10
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	10
51	10
52	52
53	52
54	10
55	10
56	10
57	10
58	10
59	10
60	10
61	10
63	10
68	6
70	6
71	52
72	52
73	52
74	52
75	2
76	52
77	52
78	52
80	52
81	52
82	52
83	52
84	52
85	52
86	6
87	6
88	6
96	52
97	52
98	52
99	52
100	52
101	52
102	52
103	52
104	52
105	52
106	52
107	52
108	52
109	52
110	52
111	52
112	52
113	52
114	52
115	52
116	52
117	52
118	52
119	52
120	52
121	52
122	52
123	52
124	52
125	52
126	52
127	52
128	52
129	52
130	52
131	52
132	52
133	52
134	52
135	52
136	52
137	52
138	52
139	52
140	52
141	52
142	52
143	52
144	144
145	144
146	144
147	144
148	2
152	144
153	144
154	144
156	144
157	52
160	52
161	52
162	52
163	52
164	52
165	52
166	52
167	6
168	6
169	6
170	6
171	6
172	6
173	6
174	6
175	6
176	6
177	6
178	6
179	6
180	6
181	6
182	6
183	6
184	6
185	52
186	52
187	52
188	6
189	52
191	52
192	6
193	52
194	6
195	52
196	52
197	6
198	52
199	6
200	52
201	6
202	6
203	6
204	6
205	6
206	6
207	6
208	6
209	6
210	6
212	6
213	6
214	6
215	6
216	6
217	6
218	6
219	6
220	6
221	6
222	6
223	6
224	6
225	6
226	6
227	6
228	6
229	52
230	6
231	6
232	6
233	6
234	52
235	52
236	52
237	52
238	52
239	52
240	52
241	52
242	52
243	52
244	52
245	52
246	52
247	52
248	52
249	52
250	52
251	52
252	52
253	52
254	52
255	52
256	52
257	52
258	52
259	52
260	52
261	52
262	52
263	52
264	52
265	52
266	52
267	52
268	52
269	52
270	6
272	52
273	52
274	52
275	52
276	52
277	52
278	52
279	52
280	52
281	52
282	52
283	6
284	6
285	6
286	6
287	6
288	6
289	2
291	52
292	144
293	52
299	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	6
309	6
310	52
311	52
312	52
313	52
314	52
315	52
318	6
319	6
320	2
322	52
323	52
324	52
325	52
326	52
328	52
329	6
330	6
331	6
332	6
333	6
334	6
335	6
336	6
337	6
338	6
339	52
340	52
341	6
342	6
343	6
344	52
345	6
346	6
347	52
348	6
350	6
351	6
352	6
353	6
354	6
355	6
356	6
357	6
358	6
359	6
360	52
361	6
362	6
363	6
364	6
365	6
366	52
367	52
368	52
369	52
370	52
371	52
372	52
373	52
374	52
375	52
376	52
377	52
378	52
379	52
380	52
381	52
382	52
383	52
384	52
385	52
386	52
387	52
388	52
389	52
390	52
391	52
393	52
394	52
395	52
396	52
425	52
426	52
427	52
428	52
429	52
430	52
431	52
434	52
435	52
437	52
439	52
440	52
441	52
442	52
443	52
444	52
445	52
446	52
453	10
456	10
490	10
491	6
492	6
493	6
494	6
495	6
496	6
497	6
498	6
499	6
500	2
503	52
504	52
505	52
506	6
507	144
508	144
509	144
510	144
511	144
512	144
513	144
514	144
515	144
516	144
517	144
543	6
544	6
545	6
546	6
548	52
549	52
550	2
553	10
554	10
569	52
571	52
572	52
573	6
574	6
575	6
576	52
577	52
578	52
579	52
580	52
581	52
582	52
583	52
584	52
585	52
586	52
587	52
588	52
589	52
590	52
591	52
592	52
593	52
594	52
595	52
596	52
597	52
598	52
599	52
600	52
601	52
602	52
603	52
604	52
605	52
606	52
607	52
608	52
609	52
610	52
611	52
613	52
615	52
616	52
617	52
618	52
619	52
620	52
621	52
622	52
623	52
624	52
625	52
626	52
627	52
628	52
629	52
630	52
631	52
632	52
633	52
634	52
635	52
636	52
637	52
638	52
639	52
640	52
641	52
642	52
643	52
644	52
645	52
646	52
647	52
648	52
649	649
650	649
651	649
652	649
653	649
654	649
655	649
656	649
657	649
658	649
659	649
660	649
661	649
662	649
663	649
664	649
665	649
666	649
667	649
668	649
669	649
670	649
671	649
672	649
673	649
674	649
675	649
676	649
677	649
679	649
680	649
681	649
682	649
683	649
684	649
685	649
686	649
687	649
688	649
689	649
690	649
691	649
692	649
693	649
694	649
695	649
696	649
697	649
698	649
699	649
700	649
701	649
702	649
703	649
704	649
705	649
706	649
707	649
708	649
709	649
710	649
711	649
712	649
713	649
714	649
715	649
716	649
717	649
718	649
719	649
720	649
721	649
722	649
723	649
724	649
725	649
726	649
727	649
729	649
730	649
731	649
732	649
733	649
734	649
735	649
736	649
737	649
738	649
739	649
740	52
741	649
742	649
743	649
744	649
745	649
746	649
747	649
748	52
749	649
750	10
751	10
752	649
753	649
755	10
756	10
757	10
758	10
759	10
760	10
761	10
762	10
763	10
764	10
765	10
766	649
767	10
768	649
769	649
770	649
771	649
772	649
773	649
774	649
775	649
776	649
777	649
779	6
781	6
782	6
783	6
784	6
785	6
786	6
787	6
788	6
789	52
790	52
791	6
792	6
793	6
794	6
795	2
796	6
797	6
798	6
799	6
800	6
801	6
802	6
803	6
804	6
805	6
806	6
807	6
808	6
809	6
810	6
811	6
812	6
814	649
815	649
818	649
820	10
825	52
832	6
835	6
837	52
839	52
840	6
844	6
848	6
854	52
863	6
864	6
865	6
866	6
867	6
868	6
869	6
870	6
871	6
872	52
873	6
874	6
875	6
876	6
879	6
883	6
884	6
885	6
886	6
887	6
888	6
889	6
890	6
891	6
892	6
893	6
894	6
895	6
896	6
897	6
898	6
899	6
900	6
901	6
902	6
904	52
905	52
906	52
907	52
908	6
909	6
910	6
911	6
912	6
913	6
914	6
915	6
916	6
917	6
918	6
919	6
920	6
921	6
922	6
923	6
924	6
925	6
926	6
927	6
928	6
933	52
934	52
935	52
936	52
937	52
938	52
939	52
940	52
941	52
942	52
943	52
944	52
945	52
946	52
947	2
948	52
949	2
950	52
951	52
952	52
953	52
954	52
955	52
956	52
957	52
958	52
959	52
960	52
961	52
962	52
963	52
964	52
965	52
966	52
967	52
968	52
969	52
970	52
971	52
972	52
973	52
974	52
975	52
976	52
977	52
978	52
979	52
980	52
981	52
982	52
983	52
984	52
985	52
986	52
987	52
988	52
989	52
990	52
991	52
992	52
993	52
994	52
995	52
996	52
997	52
998	52
999	52
1000	52
1001	52
1002	52
1003	52
1004	52
1005	52
1006	52
1007	52
1008	52
1009	52
1010	52
1011	52
1012	52
1013	52
1014	52
1015	52
1016	52
1017	52
1018	52
1019	52
1020	52
1021	52
1022	52
1023	52
1024	52
1025	52
1026	52
1027	52
1028	52
1029	52
1030	52
1031	52
1032	52
1033	52
1034	52
1035	52
1036	52
1037	52
1038	52
1039	52
1040	52
1041	52
1042	52
1043	52
1044	52
1045	52
1046	52
1047	52
1048	52
1049	52
1050	52
1051	52
13001	13001
13002	13001
13006	13001
13007	13001
13008	13001
13014	13001
14048	13001
23632	23632
23633	23632
30933	30933
30934	30933
46560	46560
46561	46560
46589	46560
46676	46560
46709	46560
46782	46560
46794	46560
46796	46560
46801	46560
46804	46560
46806	46560
46808	46560
46810	46560
46812	46560
46828	46560
48840	48840
48841	48840
49045	48840
49058	48840
98424	98424
98426	98424
98427	98424
98431	98424
98432	98424
98433	98424
98454	98424
145864	145864
145882	145864
145883	145864
145891	145864
145892	145864
145893	145864
145894	145864
145895	145864
145914	145864
145917	145864
145923	145864
145931	145864
145932	145864
145945	145864
145946	145864
145947	145864
145948	145864
145949	145864
145950	145864
145951	145864
145955	145864
145956	145864
145957	145864
145958	145864
145959	145864
145960	145864
145961	145864
145962	145864
145963	145864
145964	145864
145965	145864
145966	145864
145967	145864
145999	145864
146028	145864
146039	145864
146141	145864
146159	145864
146161	145864
166635	166635
166770	166635
166956	166635
166961	166635
166966	166635
166998	166635
167033	166635
167056	166635
167057	166635
167058	166635
167062	166635
167064	166635
167065	166635
167068	166635
167069	166635
167071	166635
167074	166635
167075	166635
167163	166635
167176	166635
167181	166635
167191	166635
167196	166635
167198	166635
167200	166635
167207	166635
173480	173480
173481	173480
173517	173480
173518	173480
173522	173480
173523	173480
173524	173480
173525	173480
173526	173480
173527	173480
173528	173480
173534	173480
173536	173480
173538	173480
173542	173480
173654	173480
173656	173480
173657	173480
173667	173480
173669	173480
173670	173480
173671	173480
173672	173480
173673	173480
173674	173480
173675	173480
173676	173480
173677	173480
173678	173480
173679	173480
173701	173480
173716	173480
173719	173480
173725	173480
173726	173480
173727	173480
173728	173480
173732	173480
173740	173480
173743	173480
173745	173480
173838	173480
173847	173480
173848	173480
173902	173480
173907	173480
173908	173480
173909	173480
173910	173480
173920	173480
173923	173480
173930	173480
173935	173480
173940	173480
173942	173480
173943	173480
173946	173480
173948	173480
173950	173480
173952	173480
173953	173480
173955	173480
173956	173480
173957	173480
173961	173480
173966	173480
173972	173480
173973	173480
173974	173480
173976	173480
